Review,Cleaned_Review
"Oof, this movie hurt.""Aftersun"" is a slow build to a climax that left me openly weeping, to the point that I had to sit in the theater for a bit after the end credits were over just to compose myself.It doesn't even seem to be about very much for a while, just a melancholy story about a dad and his pre-teen daughter trying to enjoy a vacation at a run-down resort. But man, that ending comes along and wallops you, and you realize all at once that the movie is about so much, and that's it's been gradually revealing its layers to you all along.I seriously can't even think about this movie without tearing up. I think about that ending, about how the dad just wants to give his daughter a fun vacation while sinking into a black hole of depression, and the daughter, too young to fully understand the depths of her dad's despair wanting as an adult to go back in time and help him, and I want to bawl.Easily one of the best movies I saw this year. If movie awards were to be taken at all seriously, this film would be nominated all over the place.Grade: A+",oof movi hurtaftersun slow build climax left openli weep point sit theater bit end credit compos myselfit doesnt even seem much melancholi stori dad preteen daughter tri enjoy vacat rundown resort man end come along wallop realiz movi much that gradual reveal layer alongi serious cant even think movi without tear think end dad want give daughter fun vacat sink black hole depress daughter young fulli understand depth dad despair want adult go back time help want bawleasili one best movi saw year movi award taken serious film would nomin placegrad
"Like the very best art, writer/director Charlotte Wells's film MUST be seen more than once to be appreciated, fully felt and understood. Like the fragmented family it depicts, the film requires of its viewer connection, engagement, commitment.For example, on first viewing one wouldn't know the dark-haired woman dancing is the the adult Sophie, whose memories of a holiday with her father 22 years earlier make up the narrative. That dance montage recurs several times and at the end. On the last night of the Turkish holiday young Sophie declines her dad Colum's invitation to dance, but we see her adult version dancing and then the girl herself. Charactreristically, even when he's dancing with them he is dancing alone.The ending winds back to the beginning too. The film opens with Sophie filming a playful interview with her father two days after his birthday. That scene repeats later. At their airport parting Colum films young Sophie's playful ducking, posing and wide-grinned wave. A still of that grin freezes as a wall blow-up, from which Wells pans through the adult Sophie's flat, showing the pensive woman on her own birthday. That pan continues back to our (and Sophie's) last view of Colum, pausing his camera, walking back, down a hall and disappearing behind distant doors. The last-shot doors define hie absence.Like that last long pan through three sets, the film constantly plays with time. Instead of a throughway narrative we get the discontinuity of experiences remembered, shuffled, re-examined. The memory muddle explains the frequent asynchronicity, where the sound and image are at odds. We hear Colum on the phone in one position while we see him in quite another, tucking Sophie into bed. Sometimes he wears his cast, sometimes he doesn't.The key ambiguity is the shot of Colum walking fully-dressed into the night sea. It's an explicit suicide out of A Star is Born. In the next scene he's back in the hotel room. In a linear ploy he would have returned from the shore. But in a narrative that makes jumble and uncertainty its key principle that scene suggests his suicide. Not within that narrative period, but at some point, leaving adult Sophie searching her memories to deal with it.The film's central irony is that in this rare extended visit the young girl proves to have the poise, character and maturity of an adult, while her father reveals the weak, troubled helplessness of a child. Frankie Corio's performance of Sophie is miraculous. Her every look suggests a profound complexity of feeling. Freeze a frame and read. When she's locked out of their hotel room Sophie coolly sleeps in the lobby, then tries to assuage Colum's guilt. When she covers her father's naked body on her bed she's the adult tucking in the kid.Sophie is unruffled by overhearing two young girls discussing their sexual activity, the sexual play of the teens she meets over a pool game, the teens' later heavy drinking, even her spotting two gay men kissing in a doorway. The latter may shade Colum's ""new thing going with Keith."" Matter-of-factly, she tells Colum of her having kissed young Michael.When Colum tells her that as she grows up she should feel free to tell him anything, the shot has them on a small float in the distance, against a wide expanse of water, hills in the background. The scale conveys the futility of Colum's promise, his helplessness to support her.In an early shot we hear Sophie's steady breathing, asleep in the foreground, while on the balcony behind Colum labours through tai chi exercises - while smoking! The deeply troubled Colum is reading about meditation and tai chi. He's at loose ends, between girlfriends and jobs. Through Sophie's description of her fatigue the camera shifts to show his face registering a far more profound exhaustion.He is also in money trouble. Just before we see Sophie gifted an All-Inclusive resort bracelet, Colum picks up a cigarette butt to smoke. He overreacts to Sophie's loss of a swimming mask. He complains that the hotel room provides less than he paid for. He and Sophie skip out on a restaurant bill. In a rare impatience she asks him why he keeps promising things (i.e., singing lessons) that he knows he can't afford. His purchase of an expensive carpet seems to deny that - but he buys it in a spirit of gloom, not joy. We're glad to see it in the adult Sophie's flat.Over Colum's unseen heavy breathing we see the adult Sophie rise from bed, then assure her woman partner that she'll tend to their crying baby son. A blurry montage of Colum leads to his wakeup call for the day trip that celebrates his birthday. Young Sophie enlists the tourist strangers to serenade him. Cut from that ""jolly good fellow"" to Colum sobbing helplessly, naked, alone in a dark room.At their last supper Colum pays for a polaroid snap of them together. While Sophie wistfully wishes they could stay at the resort forever we watch the photo slowly developing, firming up to clarity, a miniature of the slowly revealing montages we have been absorbing.And so to the title. My (wise) wife Anne suggests Aftersun sounds like a catchy name for a sunguard lotion, something to treat burns. We see Colum applying protective balm to Sophie a few times. Her cascade of memories are an attempt to salve that emotional sear. Aftersun also seems an inflection of Afternoon, the halfway division of the day so by extension a pivotal point in Sophie's complicated memories of her dad.",like best art writerdirector charlott well film must seen appreci fulli felt understood like fragment famili depict film requir viewer connect engag commitmentfor exampl first view one wouldnt know darkhair woman danc adult sophi whose memori holiday father year earlier make narr danc montag recur sever time end last night turkish holiday young sophi declin dad colum invit danc see adult version danc girl charactrerist even he danc danc aloneth end wind back begin film open sophi film play interview father two day birthday scene repeat later airport part colum film young sophi play duck pose widegrin wave still grin freez wall blowup well pan adult sophi flat show pensiv woman birthday pan continu back sophi last view colum paus camera walk back hall disappear behind distant door lastshot door defin hie absencelik last long pan three set film constantli play time instead throughway narr get discontinu experi rememb shuffl reexamin memori muddl explain frequent asynchron sound imag odd hear colum phone one posit see quit anoth tuck sophi bed sometim wear cast sometim doesntth key ambigu shot colum walk fullydress night sea explicit suicid star born next scene he back hotel room linear ploy would return shore narr make jumbl uncertainti key principl scene suggest suicid within narr period point leav adult sophi search memori deal itth film central ironi rare extend visit young girl prof pois charact matur adult father reveal weak troubl helpless child franki corio perform sophi miracul everi look suggest profound complex feel freez frame read she lock hotel room sophi coolli sleep lobbi tri assuag colum guilt cover father nake bodi bed she adult tuck kidsophi unruffl overhear two young girl discuss sexual activ sexual play teen meet pool game teen later heavi drink even spot two gay men kiss doorway latter may shade colum new thing go keith matteroffactli tell colum kiss young michaelwhen colum tell grow feel free tell anyth shot small float distanc wide expans water hill background scale convey futil colum promis helpless support herin earli shot hear sophi steadi breath asleep foreground balconi behind colum labour tai chi exercis smoke deepli troubl colum read medit tai chi he loos end girlfriend job sophi descript fatigu camera shift show face regist far profound exhaustionh also money troubl see sophi gift allinclus resort bracelet colum pick cigarett butt smoke overreact sophi loss swim mask complain hotel room provid le paid sophi skip restaur bill rare impati ask keep promis thing ie sing lesson know cant afford purchas expens carpet seem deni buy spirit gloom joy glad see adult sophi flatov colum unseen heavi breath see adult sophi rise bed assur woman partner shell tend cri babi son blurri montag colum lead wakeup call day trip celebr birthday young sophi enlist tourist stranger serenad cut jolli good fellow colum sob helplessli nake alon dark roomat last supper colum pay polaroid snap togeth sophi wist wish could stay resort forev watch photo slowli develop firm clariti miniatur slowli reveal montag absorbingand titl wise wife ann suggest aftersun sound like catchi name sunguard lotion someth treat burn see colum appli protect balm sophi time cascad memori attempt salv emot sear aftersun also seem inflect afternoon halfway divis day extens pivot point sophi complic memori dad
"Aftersun is a film that I wasn't sure I understood when the credits started rolling. Then, as I sat and thought about everything I had seen, I came to believe more and more that it's kind of genius.What the movie lacks in overt substantive plot it more than makes up for in authenticity and subtle placement of character-building images and dialogue. In the moment, these often feel like tangents and the overall picture isn't clear.While it can make for a frustrating first viewing, the clarity that comes with the film's final shot suddenly puts everything into perspective and I felt an overwhelming flood of emotion for the two central characters.Suffering happen more often than not in silence, and it's the cumulative of this film's many quiet moments that drive home one of the most effective, nuanced messages of compassion that I've seen all year.This is a masterpiece of subtlety, arguably slightly to a fault, but it's refreshing to see it in the age of ""hammer over the head"" messaging in movies that we're currently living in.",aftersun film wasnt sure understood credit start roll sat thought everyth seen came believ kind geniuswhat movi lack overt substant plot make authent subtl placement characterbuild imag dialogu moment often feel like tangent overal pictur isnt clearwhil make frustrat first view clariti come film final shot suddenli put everyth perspect felt overwhelm flood emot two central characterssuff happen often silenc cumul film mani quiet moment drive home one effect nuanc messag compass ive seen yearthi masterpiec subtleti arguabl slightli fault refresh see age hammer head messag movi current live
"You have a video of a holiday in the past, when you were young, before life's burdens had amassed, with a father you adore, likes to take to the dancefloor, though he's generally withdrawn and quite downcast. A reflection of a time when eyes were new, interpretation was a seed, as yet to grow, but when you look back now, it's a different world somehow, revealing spaces not yet entered, or sought to go.It's a slow meander, beautifully filmed, with two incredible performances, although those two highlights alone don't create a piece that takes your breath away as much as you might like, until you sit down to reflect, and absorb what you've seen through your own eyes.",video holiday past young life burden amass father ador like take dancefloor though he gener withdrawn quit downcast reflect time eye new interpret seed yet grow look back differ world somehow reveal space yet enter sought goit slow meander beauti film two incred perform although two highlight alon dont creat piec take breath away much might like sit reflect absorb youv seen eye
"It's been years since posting here and never before for a reason that entails major spoilers, so this is a serious alert: If you haven't seen the film and don't want major spoilers, wait til you've seen the film to read this. I myself went into this film, as i typically do, knowing nothing of what to expect (reading no reviews) and that surely accounts for much of the unprecedented degree of ""fog"" throughout my viewing (although the terrible audio we had, missing lots of dialogue, was also part of the fog), such that as we left the theater, baffled, i couldn't have imagined giving it an ""8"" or even writing here, but that's where the ""landmines"" come in ... After getting home, reading many critics' reviews, I began to see the film through such new eyes that i suddenly made sense of its plotline and meaning that went way beyond what any critic was saying. I just finished every 'user review' here too and it has persuaded me to write this because i don't see anyone interpreting it in the way I'm here to propose:I now believe that adult Sophie is (re)watching the camcorder that she has kept for 20 years with this one life-puzzle tape in it and now watches it (yet again?) with added poignancy and purpose for her now being the age her father was then. I believe she has probably rewatched this film many times searching for clues in her father that she didn't fully comprehend at the time. ""Aftersun"" may allude to a metaphorical ""sunburn"" she was left with from that trip and is forever dogged by.While for Sophie that trip meant reconnecting with a dad she loves and misses (wishing at the end that they could stay on together in hotels forever) and, despite all her hesitant inquisitiveness seeking to know dad better and how he sees the world, she had not at all perceived the ultimate purpose of the trip for her dad. In retrospect, he telegraphed the purpose of the trip for him in ways we viewers in the moment also didn't fully ""get"" as to their ""landmine"" potential: Especially when he teaches Sophie how to defend herself physically, to hold up her arms just right, etc., he becomes agitated that she isn't taking it as seriously as he wishes and urges upon her just how important this learning is. (Only he knows that he won't have future opportunities to teach her these things.) In other scenes, he's relaying life lessons about being true to herself, etc. For me the landmine only 'exploded' an hour after the film - to realize that Dad knew this was how he'd chosen to spend his last days, doing all he could think of to leave life lessons and self-protections for his beloved daughter's future life.We don't know what oppresses and depresses her father - and I believe two key scenes are in reverse-chronology (plausibly as adult Sophie's memory evokes them in that order): we see him enter the ocean and never return before we see him sobbing naked on the edge of the bed. (Of course, neither of those scenes can be from her watching the camcorder tape, i.e., they couldn't have been taped, but instead are either from adult Sophie's imagined scenes as to how some of her father's actions played out after she boarded the plane or from just the third-person narration stance that the film did often incorporate.) I believe a reason we'd seen dad fall asleep naked on the bed previously was background to give context when he sits naked and sobbing - and he's alone in the room. This is the truth of what happened after he left the airport through the double doors. He had planned this exodus but it filled him with grief nonetheless - a grief he'd been carrying since childhood when parents didn't remember his birthday(s) and he felt unimportant, untreasured, unloved - which would have given every reason for lifelong depression but we also could have been seeing a dad who was confronted, say, with a terminal illness or other reason besides ""simply"" depression. For whatever reason, I believe he bought the rug knowing it would be a tactile connection to him that he would be leaving for her (in his personal effects that would be sent to her). I believe he drank more at the end because as her departure grew close so did his intended plan to let the ocean take him away and he was drowning his sadness at leaving his daughter's world as he'd already decided to do. I think doing karaoke with her again was perhaps just too wrenching now that it was the eve of their final time together.I also believe that his saying ""I love you"" to Sophie's mom, that made her confused and curious could well have happened if, say, their marriage had ended because of his depression but there was still caring and love.I believe all this 'emotional history' of her two parents that she gets random clues about during that trip have become core pieces of a puzzle of who Sophie is to herself and yet adult Sophie still looks at the camcorder for more clues about what she might have missed in her father's words and actions during that trip.I think the 'disco shards' of memory that intervene in the film at times are adult Sophie's ongoing bombardments of puzzle pieces about her heritage - her parents' relationship that brought her into existence and what they were like ... given that at least one parent was capable of sheltering her from the full truth of his (suicidal) intentions.I myself find all these thoughts to be in the realm of over-interpretation, and I lay them out here partly as my own reality-check whether anyone else did see or could see the plotline and message in this way? Since none of the dozens of reviews I read tonight broached any of these readings of the film except for one commenter here who, almost as an aside, thought Sophie's dad at the end either a) went for cigarettes and disappeared or b) committed suicide, which the commenter sort of dismissed with an ""eek.""My own view entails no ""eek."" And if anything, especially reading all kinds of reviews that used the word 'vulnerability' to describe what her father seemed uncomfortable with. That made me think of Brené Brown's work (on the power of vulnerability - if you're not familiar google that on TED talks and join the 60+ million people who've watched her talk; many a suicide results from the shame of vulnerability) and how one possible message in this film could be a kind of outcry from an abandoned daughter, 20 years later, wishing her father - as she keeps rewatching him on the 'eve' of his suicide - might have not despaired to the point of ending his life because of shame or a sense of failure that may have undergirded his depression. And indeed some of young Sophie's questions of her dad on that trip can be seen as her probing to understand her dad's inner radar and (painful) life experience and learning.Please forgive my excesses of verbiage here or of what may seem off-the-wall over-interpretations. I write them largely to elicit whatever connection any reader might make and share to any of these notions of the film's message. Thanks.",year sinc post never reason entail major spoiler seriou alert havent seen film dont want major spoiler wait til youv seen film read went film typic know noth expect read review sure account much unpreced degre fog throughout view although terribl audio miss lot dialogu also part fog left theater baffl couldnt imagin give even write that landmin come get home read mani critic review began see film new eye suddenli made sens plotlin mean went way beyond critic say finish everi user review persuad write dont see anyon interpret way im proposei believ adult sophi rewatch camcord kept year one lifepuzzl tape watch yet ad poignanc purpos age father believ probabl rewatch film mani time search clue father didnt fulli comprehend time aftersun may allud metaphor sunburn left trip forev dog bywhil sophi trip meant reconnect dad love miss wish end could stay togeth hotel forev despit hesit inquisit seek know dad better see world perceiv ultim purpos trip dad retrospect telegraph purpos trip way viewer moment also didnt fulli get landmin potenti especi teach sophi defend physic hold arm right etc becom agit isnt take serious wish urg upon import learn know wont futur opportun teach thing scene he relay life lesson true etc landmin explod hour film realiz dad knew hed chosen spend last day could think leav life lesson selfprotect belov daughter futur lifew dont know oppress depress father believ two key scene reversechronolog plausibl adult sophi memori evok order see enter ocean never return see sob nake edg bed cours neither scene watch camcord tape ie couldnt tape instead either adult sophi imagin scene father action play board plane thirdperson narrat stanc film often incorpor believ reason wed seen dad fall asleep nake bed previous background give context sit nake sob he alon room truth happen left airport doubl door plan exodu fill grief nonetheless grief hed carri sinc childhood parent didnt rememb birthday felt unimport untreasur unlov would given everi reason lifelong depress also could see dad confront say termin ill reason besid simpli depress whatev reason believ bought rug know would tactil connect would leav person effect would sent believ drank end departur grew close intend plan let ocean take away drown sad leav daughter world hed alreadi decid think karaok perhap wrench eve final time togetheri also believ say love sophi mom made confus curiou could well happen say marriag end depress still care lovei believ emot histori two parent get random clue trip becom core piec puzzl sophi yet adult sophi still look camcord clue might miss father word action tripi think disco shard memori interven film time adult sophi ongo bombard puzzl piec heritag parent relationship brought exist like given least one parent capabl shelter full truth suicid intentionsi find thought realm overinterpret lay partli realitycheck whether anyon els see could see plotlin messag way sinc none dozen review read tonight broach read film except one comment almost asid thought sophi dad end either went cigarett disappear b commit suicid comment sort dismiss eekmi view entail eek anyth especi read kind review use word vulner describ father seem uncomfort made think brené brown work power vulner your familiar googl ted talk join million peopl whove watch talk mani suicid result shame vulner one possibl messag film could kind outcri abandon daughter year later wish father keep rewatch eve suicid might despair point end life shame sens failur may undergird depress inde young sophi question dad trip seen probe understand dad inner radar pain life experi learningpleas forgiv excess verbiag may seem offthewal overinterpret write larg elicit whatev connect reader might make share notion film messag thank
"I almost never watch films twice but 'Aftersun' was a rare case where I absolutely had to. I don't think this film can be fully appreciated on first watch. I saw someone suggest that after you watch it your mind will go back to little moments and re-evaluate their significance, and it will. But watching it again with the full picture gives the entire movie a different perspective. The second watch is almost like watching a different film.Kids in films, particularly in lead roles, can often be very annoying. That isn't an issue here. Frankie Corio gives one of the most likeable child performances I can ever remember seeing. Her chemistry with Paul Mescal was amazing. I read that she wasn't privy to Mescal's solo scene rehearsals, so that she wasn't fully aware of what his character was going through, much the same as her character Sophie wasn't. That's brilliant.Something that was very apparent on second viewing was the significance of the music in the movie. The first time through I remember thinking, ""there are a lot of good songs in this movie"". On second viewing you realise that every song used is telling a story. It's telling you what is going on, but like most people in the real world, we just hear a banging song and nod our head to it. Then later on we reconsider its true meaning.Finally, this film has one of the beast movie endings I can remember seeing. It's classy, heavy and thoughtful all at once. It's done in a beautiful and somewhat haunting way that will stick with me for a long time. 9.5/10.",almost never watch film twice aftersun rare case absolut dont think film fulli appreci first watch saw someon suggest watch mind go back littl moment reevalu signific watch full pictur give entir movi differ perspect second watch almost like watch differ filmkid film particularli lead role often annoy isnt issu franki corio give one likeabl child perform ever rememb see chemistri paul mescal amaz read wasnt privi mescal solo scene rehears wasnt fulli awar charact go much charact sophi wasnt that brilliantsometh appar second view signific music movi first time rememb think lot good song movi second view realis everi song use tell stori tell go like peopl real world hear bang song nod head later reconsid true meaningfin film one beast movi end rememb see classi heavi thought done beauti somewhat haunt way stick long time
"This film seems pedestrian at first and for a long while into the story. Rather slow and mundane, it requires patience to allow yourself to settle into what might seem laboured and boring in that it's a rather simplistic story about a father and daughter doing the routine stuff we've all done on a package holiday. I'm not surprised some find it odd that the praise is so high for this film and for the acting because there isn't much overt straining of the acting chops here and nothing is addressed directly. I was sceptical until the last 40 mins or so. However, I realised that it is a film which exploits the art of storytelling from that place of reticence we all feel at times, when it's just too overwhelming to say how we're feeling and as a study in depression and regret it turns out to be very poignant and real in the end. Many have said they need to see it again to fully grasp the nuance here but I find that I will remember it for a good while and that is testament to the story and it's accomplished acting and direction, albeit very slight, almost whispers on a hot breeze. So, I'll set out how I understood it here, don't read on if you haven't seen it.His self loathing is revealed when he--mid normal conversation--spits at his own face in the bathroom mirror while maintaining a pretence at normality - talking to his daughter beyond the bathroom door. It was perhaps the first outright confirmation that he was depressed, full of a lack of self-worth and steeped in self beratment - actions which often accompany depression.Earlier, there were signs as he danced in silence on the balcony while smoking that his mental health wasn't great because it was off-kilter, an inappropriate moment to dance in silence, and to dance oddly as if self-comforting, nearly talking to himself, but not quite.The dim strobing scenes of dancing with Sophie as an adult flash glimpses of what she can now see, as an adult and mother, what she couldn't see then, a very serious and somewhat unhinged man, the reality of his state of mind she failed to see as a child. This is contrasted very well with the fond memories of her last holiday with him and there is one moment she recalls when he failed to wake and let her into their shared room, she was locked out, perhaps metaphorically and emotionally but gained access and found him naked on the bed. Perhaps this particular memory is her only clue as to his odd behavior that she recalls, but she sees him here vulnerable at last, perhaps clearly, and she pulls the sheet over his body as if to comfort and protect him while she keeps watch from the balcony.I found the place of his death unclear although I don't think we're meant to know exactly, some believe he stayed in Turkey, however I thought he handed her over at the airport in London (there was a sign marked London Luton) to a Chaperone. There is a non-contemporaneous shot earlier where he walks into the sea at night in Turkey, a clear signal as to his intentions, or perhaps the past when he committed suicide, just not maybe the exact place. This is confusing but doesn't change the sense of loss in this film.There is a palpable feeling of regret and he exhibits lingering love still for his daughter's mother and there's a sense that this is one-sided as alluded to by the daughter. Why say you love her if you're no longer together? There is also the picture of a man who hasn't been able to cope in the world and to succeed, as happens more than we care to dwell on ... the pressure on men to succeed and provide contributing to high rates of suicide in men. This is confirmed when his daughter berates him for offering to pay for singing lessons when she knows he can't pay for them. His shame is evident here.It's easy to just see this film as a mundane telling of a father & daughter on a typical holiday, however if you grasp his inner turmoil from the outset, that knowledge transforms the experience and culminates in a formidable and profoundly sad story of regret and trauma as a daughter, too young at the time to see the subtleties of depression in the man who was the father she loved so much, looking back and suffering, living with the loss and angst so many feel about not noticing that a loved-one was at that awful stage of being about to take their own life, but they didn't notice. There's huge guilt left behind as a consequence.In the end, this film is real cinema and reminds me very much of French cinema. It is accomplished and it is profoundly sad and moving.",film seem pedestrian first long stori rather slow mundan requir patienc allow settl might seem labour bore rather simplist stori father daughter routin stuff weve done packag holiday im surpris find odd prais high film act isnt much overt strain act chop noth address directli sceptic last min howev realis film exploit art storytel place retic feel time overwhelm say feel studi depress regret turn poignant real end mani said need see fulli grasp nuanc find rememb good testament stori accomplish act direct albeit slight almost whisper hot breez ill set understood dont read havent seen ithi self loath reveal hemid normal conversationspit face bathroom mirror maintain pretenc normal talk daughter beyond bathroom door perhap first outright confirm depress full lack selfworth steep self berat action often accompani depressionearli sign danc silenc balconi smoke mental health wasnt great offkilt inappropri moment danc silenc danc oddli selfcomfort nearli talk quiteth dim strobe scene danc sophi adult flash glimps see adult mother couldnt see seriou somewhat unhing man realiti state mind fail see child contrast well fond memori last holiday one moment recal fail wake let share room lock perhap metaphor emot gain access found nake bed perhap particular memori clue odd behavior recal see vulner last perhap clearli pull sheet bodi comfort protect keep watch balconyi found place death unclear although dont think meant know exactli believ stay turkey howev thought hand airport london sign mark london luton chaperon noncontemporan shot earlier walk sea night turkey clear signal intent perhap past commit suicid mayb exact place confus doesnt chang sens loss filmther palpabl feel regret exhibit linger love still daughter mother there sens onesid allud daughter say love your longer togeth also pictur man hasnt abl cope world succeed happen care dwell pressur men succeed provid contribut high rate suicid men confirm daughter berat offer pay sing lesson know cant pay shame evid hereit easi see film mundan tell father daughter typic holiday howev grasp inner turmoil outset knowledg transform experi culmin formid profoundli sad stori regret trauma daughter young time see subtleti depress man father love much look back suffer live loss angst mani feel notic lovedon aw stage take life didnt notic there huge guilt left behind consequencein end film real cinema remind much french cinema accomplish profoundli sad move
"I am only writing this review so I can remember later on why I only gave this movie a 6. I understand that this movie has an extremely powerful and intimate presentation of the relationship between a reckless father and his young daughter. I noticed the intricacies and nuance that the film makers tried to convey throughout. I just did not connect with the film at all. I imagine that this film hit some people hard but for me I was quite bored with it by the end. I have to simply be true to my own feelings and opinions from a film and conclude that to me, it is simply ok. Don't take my rating too seriously because I can genuinely imagine somebody else watching this film thinking that it is the best thing they ever saw.",write review rememb later gave movi understand movi extrem power intim present relationship reckless father young daughter notic intricaci nuanc film maker tri convey throughout connect film imagin film hit peopl hard quit bore end simpli true feel opinion film conclud simpli ok dont take rate serious genuin imagin somebodi els watch film think best thing ever saw
"After watching this beautiful film and coming across a little note from the amazing storyteller Charlotte Wells:(I cannot share URL apparently so please search ""A note from Charlotte Wells from the site of A24."")This was the word that broke me down. Hasret.I just couldn't resist my tears. As a Turkish person, its just both amazing and heartbreaking from the point of view of the director that this word resonates with her feelings from a place she had this holiday with her late father. That it stuck with her...Even though it is not the same case at all, I remember the times as a kid I closed the door on my dad because he would come home late from work. That because he would promise me to come home early.Now, today I can't even imagine how saddening it was for him at those times and it wasn't even at his hands.Hopefully I will be able to share my love and gratitude my parents as Charlotte did here with such elegance through some way. Since, it's not easy to recapture feeling this instant or in any...Thank you for this film all in all, it surely made me reconsider a lot recently...",watch beauti film come across littl note amaz storytel charlott wellsi share url appar pleas search note charlott well site athi word broke hasreti couldnt resist tear turkish person amaz heartbreak point view director word reson feel place holiday late father stuck hereven though case rememb time kid close door dad would come home late work would promis come home earlynow today cant even imagin sadden time wasnt even handshop abl share love gratitud parent charlott eleg way sinc easi recaptur feel instant anythank film sure made reconsid lot recent
"Aftersun is one of the most oddly touching and unique films of the year. The acting from the two leads was phenomenal. The cinematography and color palette was gorgeous. This is a very impressive directorial debut. As children, we don't know much of anything. It isn't until later in life when it hits us. That realization of finally understanding what you never understood for so long. Aftersun depicts this idea so perfectly. It is told through a woman remembering a vacation with her father, and how she realizes that she never really knew him. Depression is not always obvious. Just because everything looks okay on the outside doesn't mean everything is okay on the inside.",aftersun one oddli touch uniqu film year act two lead phenomen cinematographi color palett gorgeou impress directori debut child dont know much anyth isnt later life hit u realiz final understand never understood long aftersun depict idea perfectli told woman rememb vacat father realiz never realli knew depress alway obviou everyth look okay outsid doesnt mean everyth okay insid
